Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,223700,-,-,-,40.97,-4.54,1,895,1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Relative Humidity,Pressure,Wind Direction,Wind Speed,DHI,DNI,GHI,Solar Zenith Angle,Precipitable Water,Surface Albedo,Fill Flag,Dew Point,Asymmetry,Aerosol Optical Depth,Alpha
2022,1,1,0,30,4.9,0,0,0,1,69.27,914,172,3.4000000000000004,0,0,0,159.08,1.4000000000000001,0.17,0,-0.30000000000000004,0.67,0.07100000000000001,0.4
2022,1,1,1,30,5.2,0,0,0,4,57.26,918,183,1.6,0,0,0,161.96,0.5,0.16,0,-2.6,0.64,0.011,1.02
2022,1,1,2,30,5.300000000000001,0,0,0,0,55.49,919,184,1.5,0,0,0,157,0.5,0.16,0,-2.9000000000000004,0.64,0.011,1.04
2022,1,1,3,30,5.300000000000001,0,0,0,0,54.39,919,184,1.5,0,0,0,147.66,0.5,0.16,0,-3.2,0.64,0.011,1.07
2022,1,1,4,30,5.300000000000001,0,0,0,4,53.39,919,184,1.4000000000000001,0,0,0,136.82,0.5,0.16,0,-3.4000000000000004,0.64,0.011,1.08
2022,1,1,5,30,5.2,0,0,0,1,52.64,919,180,1.4000000000000001,0,0,0,125.55,0.6000000000000001,0.16,0,-3.7,0.64,0.011,1.09
2022,1,1,6,30,5.1000000000000005,0,0,0,5,51.97,919,171,1.4000000000000001,0,0,0,114.29,0.6000000000000001,0.16,0,-4,0.64,0.011,1.1
2022,1,1,7,30,4.7,0,0,0,4,52.43,919,163,1.5,0,0,0,103.34,0.5,0.16,0,-4.2,0.64,0.012,1.11
2022,1,1,8,30,5.2,0,0,0,4,49.77,919,158,1.5,0,0,0,92.97,0.5,0.16,0,-4.4,0.64,0.012,1.12
2022,1,1,9,30,7.7,26,614,96,4,47.89,919,158,1.4000000000000001,18,0,18,83.38,0.5,0.16,7,-2.7,0.64,0.012,1.1300000000000001
2022,1,1,10,30,11.3,39,813,245,3,50.410000000000004,920,160,1.9000000000000001,137,16,141,75.29,0.6000000000000001,0.16,0,1.4000000000000001,0.64,0.013000000000000001,1.11
2022,1,1,11,30,13.9,45,902,369,3,39.1,920,161,2.5,206,36,219,68.97,0.6000000000000001,0.16,0,0.2,0.64,0.013000000000000001,1.1300000000000001
2022,1,1,12,30,15.5,49,942,446,3,36.22,919,167,2.5,257,94,296,65.04,0.6000000000000001,0.16,0,0.6000000000000001,0.64,0.013000000000000001,1.1400000000000001
2022,1,1,13,30,16.7,49,944,464,1,35.67,919,178,2.6,49,944,464,63.95,0.7000000000000001,0.16,0,1.4000000000000001,0.64,0.013000000000000001,1.1500000000000001
2022,1,1,14,30,16.7,49,926,428,8,37.050000000000004,918,183,2.4000000000000004,211,150,272,65.85,0.7000000000000001,0.16,0,2,0.64,0.014,1.1500000000000001
2022,1,1,15,30,15.4,45,869,335,0,46.15,918,181,1.7000000000000002,45,869,335,70.49,0.8,0.16,0,3.9000000000000004,0.64,0.014,1.1500000000000001
2022,1,1,16,30,12.4,38,754,203,1,68,918,177,1.3,38,754,203,77.36,0.8,0.16,0,6.7,0.64,0.015,1.12
2022,1,1,17,30,9.700000000000001,21,468,55,3,65.76,918,176,1.5,23,0,23,85.82000000000001,0.8,0.16,7,3.6,0.64,0.015,1.12
2022,1,1,18,30,8.700000000000001,0,0,0,7,60.09,918,176,1.7000000000000002,0,0,0,95.74000000000001,0.9,0.16,0,1.4000000000000001,0.64,0.016,1.11
2022,1,1,19,30,8.5,0,0,0,4,57.19,918,177,1.8,0,0,0,106.29,0.9,0.16,0,0.5,0.64,0.017,1.1
2022,1,1,20,30,8.5,0,0,0,5,54.21,919,180,1.9000000000000001,0,0,0,117.35000000000001,0.9,0.16,0,-0.2,0.64,0.018000000000000002,1.08
2022,1,1,21,30,8.4,0,0,0,5,52.61,919,183,1.9000000000000001,0,0,0,128.64000000000001,0.9,0.16,0,-0.7000000000000001,0.64,0.018000000000000002,1.06
2022,1,1,22,30,7.9,0,0,0,5,53.39,919,186,1.9000000000000001,0,0,0,139.85,0.9,0.16,0,-1,0.64,0.017,1.05
2022,1,1,23,30,7.5,0,0,0,0,53.51,918,189,1.9000000000000001,0,0,0,150.42000000000002,0.9,0.16,0,-1.3,0.64,0.017,1.05
2022,1,2,0,30,7.2,0,0,0,0,54.64,918,194,1.8,0,0,0,158.93,0.9,0.16,0,-1.3,0.64,0.017,1.04
2022,1,2,1,30,7,0,0,0,5,55.7,918,201,1.7000000000000002,0,0,0,161.89000000000001,0.9,0.16,0,-1.3,0.64,0.017,1.03
2022,1,2,2,30,7,0,0,0,7,55.46,919,209,1.6,0,0,0,156.99,0.9,0.16,0,-1.3,0.64,0.017,1.02
2022,1,2,3,30,7.1000000000000005,0,0,0,7,55.1,919,214,1.4000000000000001,0,0,0,147.69,0.9,0.16,0,-1.3,0.64,0.018000000000000002,1
2022,1,2,4,30,7.300000000000001,0,0,0,4,54.9,919,214,1.3,0,0,0,136.86,0.9,0.16,0,-1.2000000000000002,0.64,0.019,0.99
2022,1,2,5,30,7.4,0,0,0,7,54.68,919,213,1.2000000000000002,0,0,0,125.59,0.9,0.16,0,-1.1,0.64,0.021,0.99
2022,1,2,6,30,7.300000000000001,0,0,0,8,55.1,919,211,1.1,0,0,0,114.32000000000001,1,0.16,0,-1.1,0.64,0.023,0.97
2022,1,2,7,30,7.1000000000000005,0,0,0,7,55.300000000000004,919,207,1.1,0,0,0,103.37,1.1,0.16,0,-1.3,0.64,0.026000000000000002,0.9500000000000001
