datetime,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Relative Humidity,Pressure,Wind Direction,Wind Speed,DHI,DNI,GHI,Solar Zenith Angle,Precipitable Water,Surface Albedo,Fill Flag,Dew Point,Asymmetry,Aerosol Optical Depth,Alpha,solar_zenith,solar_elevation,ET_irradiance,hour_sin,hour_cos,doy_sin,doy_cos,month,week_of_year,day_of_week,GHI_lag_1h,GHI_lag_3h,GHI_lag_24h,temp_lag_1h,temp_lag_3h,temp_lag_24h,humidity_lag_1h,humidity_lag_3h,humidity_lag_24h,GHI_rollmean_3h,GHI_rollmean_6h,GHI_rollmean_24h,GHI_rollstd_3h,GHI_rollstd_6h,GHI_rollstd_24h,cloud_cover_proxy,humidity_x_temp,cloud_x_elevation
2022-01-02 00:30:00+01:00,7.2,0,0,0,0,54.64,918,194,1.8,0,0,0,158.93,0.9,0.16,0,-1.3,0.64,0.017,1.04,158.92616035780526,-68.92616035780527,0.0,0.0,1.0,0.03442161162274574,0.9994074007397048,1,52,6,0.0,0.0,0.0,7.5,8.4,4.9,53.51,52.61,69.27,0.0,0.0,82.125,0.0,0.0,137.8651869857242,0.0,393.408,0.0
2022-01-02 01:30:00+01:00,7.0,0,0,0,5,55.7,918,201,1.7000000000000002,0,0,0,161.89,0.9,0.16,0,-1.3,0.64,0.017,1.03,161.88542161223137,-71.88542161223135,0.0,0.25881904510252074,0.9659258262890683,0.03442161162274574,0.9994074007397048,1,52,6,0.0,0.0,0.0,7.2,7.9,5.2,54.64,53.39,57.26,0.0,0.0,82.125,0.0,0.0,137.8651869857242,0.0,389.90000000000003,0.0
2022-01-02 02:30:00+01:00,7.0,0,0,0,7,55.46,919,209,1.6,0,0,0,156.99,0.9,0.16,0,-1.3,0.64,0.017,1.02,156.98911826933778,-66.98911826933778,0.0,0.49999999999999994,0.8660254037844387,0.03442161162274574,0.9994074007397048,1,52,6,0.0,0.0,0.0,7.0,7.5,5.300000000000001,55.7,53.51,55.49,0.0,0.0,82.125,0.0,0.0,137.8651869857242,0.0,388.22,0.0
2022-01-02 03:30:00+01:00,7.1000000000000005,0,0,0,7,55.1,919,214,1.4,0,0,0,147.69,0.9,0.16,0,-1.3,0.64,0.018,1.0,147.6866946646712,-57.6866946646712,0.0,0.7071067811865476,0.7071067811865476,0.03442161162274574,0.9994074007397048,1,52,6,0.0,0.0,0.0,7.0,7.2,5.300000000000001,55.46,54.64,54.39,0.0,0.0,82.125,0.0,0.0,137.8651869857242,0.0,391.21000000000004,0.0
2022-01-02 04:30:00+01:00,7.300000000000001,0,0,0,4,54.9,919,214,1.3,0,0,0,136.86,0.9,0.16,0,-1.2000000000000002,0.64,0.019,0.99,136.85956123615705,-46.85956123615705,0.0,0.8660254037844386,0.5000000000000001,0.03442161162274574,0.9994074007397048,1,52,6,0.0,0.0,0.0,7.1000000000000005,7.0,5.300000000000001,55.1,55.7,53.39,0.0,0.0,82.125,0.0,0.0,137.8651869857242,0.0,400.77000000000004,0.0
2022-01-02 05:30:00+01:00,7.4,0,0,0,7,54.68,919,213,1.2000000000000002,0,0,0,125.59,0.9,0.16,0,-1.1,0.64,0.021,0.99,125.5853051564856,-35.5853051564856,0.0,0.9659258262890683,0.25881904510252074,0.03442161162274574,0.9994074007397048,1,52,6,0.0,0.0,0.0,7.300000000000001,7.0,5.2,54.9,55.46,52.64,0.0,0.0,82.125,0.0,0.0,137.8651869857242,0.0,404.632,0.0
2022-01-02 06:30:00+01:00,7.300000000000001,0,0,0,8,55.1,919,211,1.1,0,0,0,114.32,1.0,0.16,0,-1.1,0.64,0.023,0.97,114.32422178489044,-24.32422178489044,0.0,1.0,6.123233995736766e-17,0.03442161162274574,0.9994074007397048,1,52,6,0.0,0.0,0.0,7.4,7.1000000000000005,5.1000000000000005,54.68,55.1,51.97,0.0,0.0,82.125,0.0,0.0,137.8651869857242,0.0,402.2300000000001,0.0
2022-01-02 07:30:00+01:00,7.1000000000000005,0,0,0,7,55.3,919,207,1.1,0,0,0,103.37,1.1,0.16,0,-1.3,0.64,0.026,0.95,103.36831037627793,-13.368310376277933,0.0,0.9659258262890683,-0.25881904510252063,0.03442161162274574,0.9994074007397048,1,52,6,0.0,0.0,0.0,7.300000000000001,7.300000000000001,4.7,55.1,54.9,52.43,0.0,0.0,82.125,0.0,0.0,137.8651869857242,0.0,392.63,0.0
2022-01-02 08:30:00+01:00,7.4,0,0,0,7,53.86,919,207,1.0,0,0,0,92.99,1.2000000000000002,0.16,0,-1.3,0.64,0.029,0.93,92.9891945879133,-2.9891945879133095,0.0,0.8660254037844387,-0.4999999999999998,0.03442161162274574,0.9994074007397048,1,52,6,0.0,0.0,0.0,7.1000000000000005,7.4,5.2,55.3,54.68,49.77,0.0,0.0,82.125,0.0,0.0,137.8651869857242,0.0,398.564,0.0
2022-01-02 09:30:00+01:00,8.8,30,511,89,7,52.25,920,212,1.0,28,1,28,83.39,1.3,0.16,7,-0.5,0.64,0.029,0.91,83.38885607294398,6.61114392705602,162.7952485462756,0.7071067811865476,-0.7071067811865475,0.03442161162274574,0.9994074007397048,1,52,6,0.0,0.0,18.0,7.4,7.300000000000001,7.7,53.86,55.1,47.89,0.0,0.0,82.125,0.0,0.0,137.8651869857242,0.6777777777777778,459.8,4.480886439449081
2022-01-02 10:30:00+01:00,11.0,46,745,235,7,52.84,920,223,1.3,105,17,109,75.27,1.4,0.16,0,1.7000000000000002,0.64,0.025,0.88,75.27332028827018,14.726679711729817,359.4526082516114,0.49999999999999994,-0.8660254037844387,0.03442161162274574,0.9994074007397048,1,52,6,28.0,0.0,141.0,8.8,7.1000000000000005,11.3,52.25,55.3,50.41,9.333333333333334,4.666666666666667,82.54166666666667,16.165807537309693,11.430952132986294,137.67794151464548,0.5338983050847458,581.24,7.862549337618462
2022-01-02 11:30:00+01:00,13.0,53,840,355,8,43.08,920,240,1.8,171,213,248,68.93,1.5,0.16,7,0.7000000000000001,0.64,0.023,0.86,68.93400437721343,21.06599562278657,508.2553510129421,0.258819045102521,-0.9659258262890682,0.03442161162274574,0.9994074007397048,1,52,6,109.0,0.0,219.0,11.0,7.4,13.9,52.84,53.86,39.1,45.666666666666664,22.833333333333332,81.20833333333333,56.606831154316865,43.67340914866423,137.2414499329927,0.300561797752809,560.04,6.331633515837536
